Training started in: /home/kaize/Downloads/Master_Study_Master_Thesis/libfranka_ws/src/E2E_Teleoperation/E2E_Teleoperation/trained_RL/E2E_RL_HIGH_VARIANCE_FIGURE_8_20251221_180800
============================================================

>>> STAGE 1: ROBUST ESTIMATION (Supervised)
[Stage 1 Step 0] Loss: 0.00000 | Reward: 0.000 | Pred Err: 3.11e+00 | Track Err: 0.00000
[Stage 1 Step 50] Loss: 0.00000 | Reward: 0.000 | Pred Err: 3.09e+00 | Track Err: 0.01914
[Stage 1 Step 100] Loss: 0.00000 | Reward: 0.000 | Pred Err: 3.14e+00 | Track Err: 0.07822
[Stage 1 Step 150] Loss: 0.00000 | Reward: 0.000 | Pred Err: 3.20e+00 | Track Err: 0.09988
[Stage 1 Step 200] Loss: 0.00000 | Reward: 0.000 | Pred Err: 3.27e+00 | Track Err: 0.08985
[Stage 1 Step 250] Loss: 0.00000 | Reward: 0.000 | Pred Err: 3.33e+00 | Track Err: 0.08906
[Stage 1 Step 300] Loss: 0.00000 | Reward: 0.000 | Pred Err: 3.38e+00 | Track Err: 0.09824
[Stage 1 Step 350] Loss: 0.00000 | Reward: 0.000 | Pred Err: 3.41e+00 | Track Err: 0.09655
[Stage 1 Step 400] Loss: 0.00000 | Reward: 0.000 | Pred Err: 3.44e+00 | Track Err: 0.07482
[Stage 1 Step 450] Loss: 0.00000 | Reward: 0.000 | Pred Err: 3.45e+00 | Track Err: 0.06070
[Stage 1 Step 500] Loss: 0.00000 | Reward: 0.000 | Pred Err: 3.46e+00 | Track Err: 0.05147
[Stage 1 Step 550] Loss: 0.00000 | Reward: 0.000 | Pred Err: 3.46e+00 | Track Err: 0.04634
[Stage 1 Step 600] Loss: 0.00000 | Reward: 0.000 | Pred Err: 3.46e+00 | Track Err: 0.04379
[Stage 1 Step 650] Loss: 0.00000 | Reward: 0.000 | Pred Err: 3.46e+00 | Track Err: 0.03681
[Stage 1 Step 700] Loss: 0.00000 | Reward: 0.000 | Pred Err: 3.45e+00 | Track Err: 0.02534
[Stage 1 Step 750] Loss: 0.00000 | Reward: 0.000 | Pred Err: 3.45e+00 | Track Err: 0.01428
[Stage 1 Step 800] Loss: 0.00000 | Reward: 0.000 | Pred Err: 3.44e+00 | Track Err: 0.01692
[Stage 1 Step 850] Loss: 0.00000 | Reward: 0.000 | Pred Err: 3.43e+00 | Track Err: 0.02817
[Stage 1 Step 900] Loss: 0.00000 | Reward: 0.000 | Pred Err: 3.42e+00 | Track Err: 0.04682
[Stage 1 Step 950] Loss: 0.00000 | Reward: 0.000 | Pred Err: 3.40e+00 | Track Err: 0.05338
[Stage 1 Step 1000] Loss: 0.00000 | Reward: 0.000 | Pred Err: 3.39e+00 | Track Err: 0.05535
[Stage 1 Step 1050] Loss: 0.83818 | Reward: 0.000 | Pred Err: 3.32e+00 | Track Err: 0.05802
[Stage 1 Step 1100] Loss: 0.81482 | Reward: 0.000 | Pred Err: 3.25e+00 | Track Err: 0.07124
[Stage 1 Step 1150] Loss: 0.79001 | Reward: 0.000 | Pred Err: 3.17e+00 | Track Err: 0.08054
[Stage 1 Step 1200] Loss: 0.75493 | Reward: 0.000 | Pred Err: 3.06e+00 | Track Err: 0.08877
[Stage 1 Step 1250] Loss: 0.70384 | Reward: 0.000 | Pred Err: 2.90e+00 | Track Err: 0.08574
[Stage 1 Step 1300] Loss: 0.61351 | Reward: 0.000 | Pred Err: 2.63e+00 | Track Err: 0.08282
[Stage 1 Step 1350] Loss: 0.41446 | Reward: 0.000 | Pred Err: 2.00e+00 | Track Err: 0.08682
[Stage 1 Step 1400] Loss: 0.12781 | Reward: 0.000 | Pred Err: 6.99e-01 | Track Err: 0.09617
[Stage 1 Step 1450] Loss: 0.13813 | Reward: 0.000 | Pred Err: 9.37e-01 | Track Err: 0.09218
[Stage 1 Step 1500] Loss: 0.06108 | Reward: 0.000 | Pred Err: 7.14e-01 | Track Err: 0.07321
[Stage 1 Step 1550] Loss: 0.06207 | Reward: 0.000 | Pred Err: 8.42e-01 | Track Err: 0.06715
[Stage 1 Step 1600] Loss: 0.06459 | Reward: 0.000 | Pred Err: 9.05e-01 | Track Err: 0.06913
[Stage 1 Step 1650] Loss: 0.05958 | Reward: 0.000 | Pred Err: 9.56e-01 | Track Err: 0.07235
[Stage 1 Step 1700] Loss: 0.05855 | Reward: 0.000 | Pred Err: 9.92e-01 | Track Err: 0.06120
[Stage 1 Step 1750] Loss: 0.05635 | Reward: 0.000 | Pred Err: 9.57e-01 | Track Err: 0.05165
[Stage 1 Step 1800] Loss: 0.05510 | Reward: 0.000 | Pred Err: 9.53e-01 | Track Err: 0.04647
[Stage 1 Step 1850] Loss: 0.05427 | Reward: 0.000 | Pred Err: 9.16e-01 | Track Err: 0.03511
[Stage 1 Step 1900] Loss: 0.05421 | Reward: 0.000 | Pred Err: 8.99e-01 | Track Err: 0.03067
[Stage 1 Step 1950] Loss: 0.05410 | Reward: 0.000 | Pred Err: 8.69e-01 | Track Err: 0.02987
[Stage 1 Step 2000] Loss: 0.05462 | Reward: 0.000 | Pred Err: 8.52e-01 | Track Err: 0.03946
[Stage 1 Step 2050] Loss: 0.05722 | Reward: 0.000 | Pred Err: 8.29e-01 | Track Err: 0.04586
[Stage 1 Step 2100] Loss: 0.05513 | Reward: 0.000 | Pred Err: 7.82e-01 | Track Err: 0.05200
[Stage 1 Step 2150] Loss: 0.05796 | Reward: 0.000 | Pred Err: 7.31e-01 | Track Err: 0.05174
[Stage 1 Step 2200] Loss: 0.05514 | Reward: 0.000 | Pred Err: 6.97e-01 | Track Err: 0.05733
[Stage 1 Step 2250] Loss: 0.05507 | Reward: 0.000 | Pred Err: 6.22e-01 | Track Err: 0.06496
[Stage 1 Step 2300] Loss: 0.05544 | Reward: 0.000 | Pred Err: 5.76e-01 | Track Err: 0.07235
[Stage 1 Step 2350] Loss: 0.05755 | Reward: 0.000 | Pred Err: 5.24e-01 | Track Err: 0.07413
[Stage 1 Step 2400] Loss: 0.05697 | Reward: 0.000 | Pred Err: 4.65e-01 | Track Err: 0.08408
[Stage 1 Step 2450] Loss: 0.05552 | Reward: 0.000 | Pred Err: 4.37e-01 | Track Err: 0.09472
[Stage 1 Step 2500] Loss: 0.05638 | Reward: 0.000 | Pred Err: 4.40e-01 | Track Err: 0.09833
[Stage 1 Step 2550] Loss: 0.05756 | Reward: 0.000 | Pred Err: 4.26e-01 | Track Err: 0.10024
[Stage 1 Step 2600] Loss: 0.05767 | Reward: 0.000 | Pred Err: 4.42e-01 | Track Err: 0.10430
[Stage 1 Step 2650] Loss: 0.05572 | Reward: 0.000 | Pred Err: 4.70e-01 | Track Err: 0.10627
[Stage 1 Step 2700] Loss: 0.05519 | Reward: 0.000 | Pred Err: 4.93e-01 | Track Err: 0.10601
[Stage 1 Step 2750] Loss: 0.05463 | Reward: 0.000 | Pred Err: 5.06e-01 | Track Err: 0.10338
[Stage 1 Step 2800] Loss: 0.05157 | Reward: 0.000 | Pred Err: 4.99e-01 | Track Err: 0.08889
[Stage 1 Step 2850] Loss: 0.05036 | Reward: 0.000 | Pred Err: 4.82e-01 | Track Err: 0.07907
[Stage 1 Step 2900] Loss: 0.04768 | Reward: 0.000 | Pred Err: 4.60e-01 | Track Err: 0.06674
[Stage 1 Step 2950] Loss: 0.04299 | Reward: 0.000 | Pred Err: 4.38e-01 | Track Err: 0.06157
[Stage 1 Step 3000] Loss: 0.03945 | Reward: 0.000 | Pred Err: 4.80e-01 | Track Err: 0.05952
