>>> STAGE 1: Encoder Pre-training
>> Collecting 10000 steps of data...
Stage 1 | Step 0 | Loss: 0.75088 | Best: 0.75088
Stage 1 | Step 1000 | Loss: 0.00056 | Best: 0.00056
Stage 1 | Step 2000 | Loss: 0.00034 | Best: 0.00034
Stage 1 | Step 3000 | Loss: 0.00032 | Best: 0.00032
Stage 1 | Step 4000 | Loss: 0.00039 | Best: 0.00032
Stage 1 | Step 5000 | Loss: 0.00036 | Best: 0.00032
Stage 1 | Step 6000 | Loss: 0.00025 | Best: 0.00025
Stage 1 | Step 7000 | Loss: 0.00022 | Best: 0.00022
Stage 1 | Step 8000 | Loss: 0.00032 | Best: 0.00022
Stage 1 | Step 9000 | Loss: 0.00046 | Best: 0.00022
>>> STAGE 2: BC Pre-training
Stage 2 | Step 0 | BC Loss: 0.00752 | Best: 0.00752
Stage 2 | Step 100 | BC Loss: 0.00025 | Best: 0.00025
Stage 2 | Step 200 | BC Loss: 0.00013 | Best: 0.00013
Stage 2 | Step 300 | BC Loss: 0.00011 | Best: 0.00011
Stage 2 | Step 400 | BC Loss: 0.00013 | Best: 0.00011
Stage 2 | Step 500 | BC Loss: 0.00010 | Best: 0.00010
Stage 2 | Step 600 | BC Loss: 0.00010 | Best: 0.00010
Stage 2 | Step 700 | BC Loss: 0.00010 | Best: 0.00010
Stage 2 | Step 800 | BC Loss: 0.00011 | Best: 0.00010
Stage 2 | Step 900 | BC Loss: 0.00009 | Best: 0.00009
Stage 2 | Step 1000 | BC Loss: 0.00009 | Best: 0.00009
Stage 2 | Step 1100 | BC Loss: 0.00009 | Best: 0.00009
Stage 2 | Step 1200 | BC Loss: 0.00010 | Best: 0.00009
Stage 2 | Step 1300 | BC Loss: 0.00009 | Best: 0.00009
Stage 2 | Step 1400 | BC Loss: 0.00010 | Best: 0.00009
Stage 2 | Step 1500 | BC Loss: 0.00012 | Best: 0.00009
Stage 2 | Step 1600 | BC Loss: 0.00008 | Best: 0.00008
Stage 2 | Step 1700 | BC Loss: 0.00009 | Best: 0.00008
Stage 2 | Step 1800 | BC Loss: 0.00010 | Best: 0.00008
Stage 2 | Step 1900 | BC Loss: 0.00008 | Best: 0.00008
Stage 2 | Step 2000 | BC Loss: 0.00008 | Best: 0.00008
Stage 2 | Step 2100 | BC Loss: 0.00009 | Best: 0.00008
Stage 2 | Step 2200 | BC Loss: 0.00010 | Best: 0.00008
Stage 2 | Step 2300 | BC Loss: 0.00009 | Best: 0.00008
Stage 2 | Step 2400 | BC Loss: 0.00010 | Best: 0.00008
Stage 2 | Step 2500 | BC Loss: 0.00008 | Best: 0.00008
Stage 2 | Step 2600 | BC Loss: 0.00009 | Best: 0.00008
Stage 2 | Step 2700 | BC Loss: 0.00009 | Best: 0.00008
Stage 2 | Step 2800 | BC Loss: 0.00008 | Best: 0.00008
Stage 2 | Step 2900 | BC Loss: 0.00009 | Best: 0.00008
Stage 2 | Step 3000 | BC Loss: 0.00008 | Best: 0.00008
Stage 2 | Step 3100 | BC Loss: 0.00010 | Best: 0.00008
Stage 2 | Step 3200 | BC Loss: 0.00008 | Best: 0.00008
Stage 2 | Step 3300 | BC Loss: 0.00009 | Best: 0.00008
Stage 2 | Step 3400 | BC Loss: 0.00008 | Best: 0.00008
Stage 2 | Step 3500 | BC Loss: 0.00008 | Best: 0.00008
Stage 2 | Step 3600 | BC Loss: 0.00010 | Best: 0.00008
Stage 2 | Step 3700 | BC Loss: 0.00009 | Best: 0.00008
Stage 2 | Step 3800 | BC Loss: 0.00008 | Best: 0.00008
