>>> STAGE 1: Encoder Pre-training
>> Collecting 10000 steps of data...
Stage 1 | Step 0 | Loss: 0.75205 | Best: 0.75205
Stage 1 | Step 1000 | Loss: 0.00189 | Best: 0.00189
Stage 1 | Step 2000 | Loss: 0.00026 | Best: 0.00026
Stage 1 | Step 3000 | Loss: 0.00020 | Best: 0.00020
Stage 1 | Step 4000 | Loss: 0.00050 | Best: 0.00020
Stage 1 | Step 5000 | Loss: 0.00033 | Best: 0.00020
Stage 1 | Step 6000 | Loss: 0.00033 | Best: 0.00020
Stage 1 | Step 7000 | Loss: 0.00027 | Best: 0.00020
Stage 1 | Step 8000 | Loss: 0.00034 | Best: 0.00020
Stage 1 | Step 9000 | Loss: 0.00040 | Best: 0.00020
>>> STAGE 2: BC Pre-training
Stage 2 | Step 0 | BC Loss: 0.00377 | Best: 0.00377
Stage 2 | Step 1000 | BC Loss: 0.00010 | Best: 0.00010
Stage 2 | Step 2000 | BC Loss: 0.00010 | Best: 0.00010
Stage 2 | Step 3000 | BC Loss: 0.00009 | Best: 0.00009
Stage 2 | Step 4000 | BC Loss: 0.00008 | Best: 0.00008
Stage 2 | Step 5000 | BC Loss: 0.00009 | Best: 0.00008
Stage 2 | Step 6000 | BC Loss: 0.00009 | Best: 0.00008
Stage 2 | Step 7000 | BC Loss: 0.00010 | Best: 0.00008
Stage 2 | Step 8000 | BC Loss: 0.00008 | Best: 0.00008
Stage 2 | Step 9000 | BC Loss: 0.00007 | Best: 0.00007

>>> STAGE 3: End-to-End SAC Fine-tuning
